"TOPIC","SUBTOPIC","SUBTOPIC_ID","TAXONOMY","TAXONOMY_ID","CLASSIFICATION","CLASSIFICATION_ID","GROUP","GROUP_ID","GROUP_ORDER","SUBGROUP","SUBGROUP_ID","SUBGROUP_ORDER","NESTING_LABEL","NESTING_LABEL_ID","ESTIMATE_TYPE","ESTIMATE_TYPE_ID","TIME_PERIOD","TIME_PERIOD_ID","ESTIMATE","STANDARD_ERROR","ESTIMATE_LCI","ESTIMATE_UCI","FLAG","FOOTNOTE_ID_LIST"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Sex","1","3","Female","1.1","7",,,"Percent of population, age adjusted","1","2017-3/2020","8","42.1","1.3",,,,"FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Sex","1","3","Female","1.1","7",,,"Percent of population, crude","2","1988-1994","1","36.1","1",,,,"NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Sex","1","3","Female","1.1","7",,,"Percent of population, crude","2","1995-1998","2",,,,,"- - -","NT0009,SC0004,NA0004,NT9997,FN9995"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Sex","1","3","Female","1.1","7",,,"Percent of population, crude","2","1999-2000","3",,,,,"- -","NT0009,SC0004,NA0012,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Sex","1","3","Female","1.1","7",,,"Percent of population, crude","2","2001-2004","4","43.3","1.1",,,,"NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Sex","1","3","Female","1.1","7",,,"Percent of population, crude","2","2005-2008","5","43.2","0.9",,,,"NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Sex","1","3","Female","1.1","7",,,"Percent of population, crude","2","2009-2012","6","43.8","1.2",,,,"NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Sex","1","3","Female","1.1","7",,,"Percent of population, crude","2","2013-2016","7","44.2","0.9",,,,"NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Sex","1","3","Female","1.1","7",,,"Percent of population, crude","2","2017-3/2020","8","46.9","1.4",,,,"NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Sex","1","3","Male","1.2","8",,,"Percent of population, age adjusted","1","1988-1994","1","49.3","1.2",,,,"FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Sex","1","3","Male","1.2","8",,,"Percent of population, age adjusted","1","1995-1998","2",,,,,"- - -","FN0027,NT0009,SC0004,NA0004,NT9997,FN9995"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Sex","1","3","Male","1.2","8",,,"Percent of population, age adjusted","1","1999-2000","3",,,,,"- -","FN0027,NT0009,SC0004,NA0012,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Sex","1","3","Male","1.2","8",,,"Percent of population, age adjusted","1","2001-2004","4","51.1","1.4",,,,"FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Sex","1","3","Male","1.2","8",,,"Percent of population, age adjusted","1","2005-2008","5","48.6","0.9",,,,"FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Sex","1","3","Male","1.2","8",,,"Percent of population, age adjusted","1","2009-2012","6","48.1","1.1",,,,"FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Sex","1","3","Male","1.2","8",,,"Percent of population, age adjusted","1","2013-2016","7","47.5","1",,,,"FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Sex","1","3","Male","1.2","8",,,"Percent of population, age adjusted","1","2017-3/2020","8","50.3","1.9",,,,"FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Sex","1","3","Male","1.2","8",,,"Percent of population, crude","2","1988-1994","1","46.9","1.3",,,,"NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Sex","1","3","Male","1.2","8",,,"Percent of population, crude","2","1995-1998","2",,,,,"- - -","NT0009,SC0004,NA0004,NT9997,FN9995"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Sex","1","3","Male","1.2","8",,,"Percent of population, crude","2","1999-2000","3",,,,,"- -","NT0009,SC0004,NA0012,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Sex","1","3","Male","1.2","8",,,"Percent of population, crude","2","2001-2004","4","49.9","1.4",,,,"NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Sex","1","3","Male","1.2","8",,,"Percent of population, crude","2","2005-2008","5","48.5","0.9",,,,"NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Sex","1","3","Male","1.2","8",,,"Percent of population, crude","2","2009-2012","6","48.7","1.4",,,,"NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Sex","1","3","Male","1.2","8",,,"Percent of population, crude","2","2013-2016","7","48.7","1",,,,"NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Sex","1","3","Male","1.2","8",,,"Percent of population, crude","2","2017-3/2020","8","51.9","1.8",,,,"NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","<100% FPL","5.1","9",,,"Percent of population, age adjusted","1","1988-1994","1","47.5","1.6",,,,"FN0027,FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","<100% FPL","5.1","9",,,"Percent of population, age adjusted","1","1995-1998","2",,,,,"- - -","FN0027,FN0262,NT0009,SC0004,NA0004,NT9997,FN9995"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","<100% FPL","5.1","9",,,"Percent of population, age adjusted","1","1999-2000","3",,,,,"- -","FN0027,FN0262,NT0009,SC0004,NA0012,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","<100% FPL","5.1","9",,,"Percent of population, age adjusted","1","2001-2004","4","49.3","1.4",,,,"FN0027,FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","<100% FPL","5.1","9",,,"Percent of population, age adjusted","1","2005-2008","5","45.2","1.4",,,,"FN0027,FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","<100% FPL","5.1","9",,,"Percent of population, age adjusted","1","2009-2012","6","48","1.1",,,,"FN0027,FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","<100% FPL","5.1","9",,,"Percent of population, age adjusted","1","2013-2016","7","47.5","1.1",,,,"FN0027,FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","<100% FPL","5.1","9",,,"Percent of population, age adjusted","1","2017-3/2020","8","49","1.8",,,,"FN0027,FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","<100% FPL","5.1","9",,,"Percent of population, crude","2","1988-1994","1","40.9","1.6",,,,"FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","<100% FPL","5.1","9",,,"Percent of population, crude","2","1995-1998","2",,,,,"- - -","FN0262,NT0009,SC0004,NA0004,NT9997,FN9995"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","<100% FPL","5.1","9",,,"Percent of population, crude","2","1999-2000","3",,,,,"- -","FN0262,NT0009,SC0004,NA0012,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","<100% FPL","5.1","9",,,"Percent of population, crude","2","2001-2004","4","42.1","1.6",,,,"FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","<100% FPL","5.1","9",,,"Percent of population, crude","2","2005-2008","5","39.6","1.7",,,,"FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","<100% FPL","5.1","9",,,"Percent of population, crude","2","2009-2012","6","41","1.8",,,,"FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","<100% FPL","5.1","9",,,"Percent of population, crude","2","2013-2016","7","44.3","1.2",,,,"FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","<100% FPL","5.1","9",,,"Percent of population, crude","2","2017-3/2020","8","45.5","2",,,,"FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","100% to <200% FPL","5.2","10",,,"Percent of population, age adjusted","1","1988-1994","1","44","1.4",,,,"FN0027,FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","100% to <200% FPL","5.2","10",,,"Percent of population, age adjusted","1","1995-1998","2",,,,,"- - -","FN0027,FN0262,NT0009,SC0004,NA0004,NT9997,FN9995"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","100% to <200% FPL","5.2","10",,,"Percent of population, age adjusted","1","1999-2000","3",,,,,"- -","FN0027,FN0262,NT0009,SC0004,NA0012,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","100% to <200% FPL","5.2","10",,,"Percent of population, age adjusted","1","2001-2004","4","49.1","1.4",,,,"FN0027,FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","100% to <200% FPL","5.2","10",,,"Percent of population, age adjusted","1","2005-2008","5","46.7","1.6",,,,"FN0027,FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","100% to <200% FPL","5.2","10",,,"Percent of population, age adjusted","1","2009-2012","6","46.4","1.2",,,,"FN0027,FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","100% to <200% FPL","5.2","10",,,"Percent of population, age adjusted","1","2013-2016","7","47.5","1.4",,,,"FN0027,FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","100% to <200% FPL","5.2","10",,,"Percent of population, age adjusted","1","2017-3/2020","8","47.9","1.6",,,,"FN0027,FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","100% to <200% FPL","5.2","10",,,"Percent of population, crude","2","1988-1994","1","43","1.8",,,,"FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","100% to <200% FPL","5.2","10",,,"Percent of population, crude","2","1995-1998","2",,,,,"- - -","FN0262,NT0009,SC0004,NA0004,NT9997,FN9995"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","100% to <200% FPL","5.2","10",,,"Percent of population, crude","2","1999-2000","3",,,,,"- -","FN0262,NT0009,SC0004,NA0012,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","100% to <200% FPL","5.2","10",,,"Percent of population, crude","2","2001-2004","4","48.4","1.8",,,,"FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","100% to <200% FPL","5.2","10",,,"Percent of population, crude","2","2005-2008","5","48.7","1.5",,,,"FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","100% to <200% FPL","5.2","10",,,"Percent of population, crude","2","2009-2012","6","48.2","1.7",,,,"FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","100% to <200% FPL","5.2","10",,,"Percent of population, crude","2","2013-2016","7","48.8","1.3",,,,"FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","100% to <200% FPL","5.2","10",,,"Percent of population, crude","2","2017-3/2020","8","50.8","1.9",,,,"FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","200% to <400% FPL","5.3","11",,,"Percent of population, age adjusted","1","1988-1994","1","42.5","1.3",,,,"FN0027,FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","200% to <400% FPL","5.3","11",,,"Percent of population, age adjusted","1","1995-1998","2",,,,,"- - -","FN0027,FN0262,NT0009,SC0004,NA0004,NT9997,FN9995"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","200% to <400% FPL","5.3","11",,,"Percent of population, age adjusted","1","1999-2000","3",,,,,"- -","FN0027,FN0262,NT0009,SC0004,NA0012,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","200% to <400% FPL","5.3","11",,,"Percent of population, age adjusted","1","2001-2004","4","47","1.3",,,,"FN0027,FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","200% to <400% FPL","5.3","11",,,"Percent of population, age adjusted","1","2005-2008","5","44.8","1.4",,,,"FN0027,FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","200% to <400% FPL","5.3","11",,,"Percent of population, age adjusted","1","2009-2012","6","45.9","1.3",,,,"FN0027,FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","200% to <400% FPL","5.3","11",,,"Percent of population, age adjusted","1","2013-2016","7","45.1","1.1",,,,"FN0027,FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","200% to <400% FPL","5.3","11",,,"Percent of population, age adjusted","1","2017-3/2020","8","49.3","1.6",,,,"FN0027,FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","200% to <400% FPL","5.3","11",,,"Percent of population, crude","2","1988-1994","1","39.9","1.5",,,,"FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","200% to <400% FPL","5.3","11",,,"Percent of population, crude","2","1995-1998","2",,,,,"- - -","FN0262,NT0009,SC0004,NA0004,NT9997,FN9995"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","200% to <400% FPL","5.3","11",,,"Percent of population, crude","2","1999-2000","3",,,,,"- -","FN0262,NT0009,SC0004,NA0012,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","200% to <400% FPL","5.3","11",,,"Percent of population, crude","2","2001-2004","4","46.9","1.7",,,,"FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","200% to <400% FPL","5.3","11",,,"Percent of population, crude","2","2005-2008","5","46.3","1.3",,,,"FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","200% to <400% FPL","5.3","11",,,"Percent of population, crude","2","2009-2012","6","48.3","1.4",,,,"FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","200% to <400% FPL","5.3","11",,,"Percent of population, crude","2","2013-2016","7","47.3","1.2",,,,"FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","200% to <400% FPL","5.3","11",,,"Percent of population, crude","2","2017-3/2020","8","52.4","1.9",,,,"FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","≥400% FPL","5.4","12",,,"Percent of population, age adjusted","1","1988-1994","1","40.7","1.9",,,,"FN0027,FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","≥400% FPL","5.4","12",,,"Percent of population, age adjusted","1","1995-1998","2",,,,,"- - -","FN0027,FN0262,NT0009,SC0004,NA0004,NT9997,FN9995"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","≥400% FPL","5.4","12",,,"Percent of population, age adjusted","1","1999-2000","3",,,,,"- -","FN0027,FN0262,NT0009,SC0004,NA0012,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","≥400% FPL","5.4","12",,,"Percent of population, age adjusted","1","2001-2004","4","45.6","1.3",,,,"FN0027,FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","≥400% FPL","5.4","12",,,"Percent of population, age adjusted","1","2005-2008","5","43.6","1.2",,,,"FN0027,FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","≥400% FPL","5.4","12",,,"Percent of population, age adjusted","1","2009-2012","6","41.5","1.5",,,,"FN0027,FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","≥400% FPL","5.4","12",,,"Percent of population, age adjusted","1","2013-2016","7","39.9","1.3",,,,"FN0027,FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","≥400% FPL","5.4","12",,,"Percent of population, age adjusted","1","2017-3/2020","8","42.4","2.3",,,,"FN0027,FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","≥400% FPL","5.4","12",,,"Percent of population, crude","2","1988-1994","1","40.1","1.9",,,,"FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","≥400% FPL","5.4","12",,,"Percent of population, crude","2","1995-1998","2",,,,,"- - -","FN0262,NT0009,SC0004,NA0004,NT9997,FN9995"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","≥400% FPL","5.4","12",,,"Percent of population, crude","2","1999-2000","3",,,,,"- -","FN0262,NT0009,SC0004,NA0012,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","≥400% FPL","5.4","12",,,"Percent of population, crude","2","2001-2004","4","46.6","1.4",,,,"FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","≥400% FPL","5.4","12",,,"Percent of population, crude","2","2005-2008","5","45.4","1.1",,,,"FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","≥400% FPL","5.4","12",,,"Percent of population, crude","2","2009-2012","6","45.7","2",,,,"FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","≥400% FPL","5.4","12",,,"Percent of population, crude","2","2013-2016","7","44.7","1.6",,,,"FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Socioeconomic Characteristic","3","Poverty level","5","4","≥400% FPL","5.4","12",,,"Percent of population, crude","2","2017-3/2020","8","47.2","2.6",,,,"FN0262,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Multiple Characteristics","5","Sex and age group","2","5","Female: 20-44 years","2.1","13","Female","10","Percent of population, crude","2","1988-1994","1","16.8","0.9",,,,"NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Multiple Characteristics","5","Sex and age group","2","5","Female: 20-44 years","2.1","13","Female","10","Percent of population, crude","2","1995-1998","2",,,,,"- - -","NT0009,SC0004,NA0004,NT9997,FN9995"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Multiple Characteristics","5","Sex and age group","2","5","Female: 20-44 years","2.1","13","Female","10","Percent of population, crude","2","1999-2000","3",,,,,"- -","NT0009,SC0004,NA0012,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Multiple Characteristics","5","Sex and age group","2","5","Female: 20-44 years","2.1","13","Female","10","Percent of population, crude","2","2001-2004","4","18.2","1.1",,,,"NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Multiple Characteristics","5","Sex and age group","2","5","Female: 20-44 years","2.1","13","Female","10","Percent of population, crude","2","2005-2008","5","16.9","1.3",,,,"NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Multiple Characteristics","5","Sex and age group","2","5","Female: 20-44 years","2.1","13","Female","10","Percent of population, crude","2","2009-2012","6","18.5","1.1",,,,"NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Multiple Characteristics","5","Sex and age group","2","5","Female: 20-44 years","2.1","13","Female","10","Percent of population, crude","2","2013-2016","7","17.6","1.1",,,,"NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Multiple Characteristics","5","Sex and age group","2","5","Female: 20-44 years","2.1","13","Female","10","Percent of population, crude","2","2017-3/2020","8","21","1.3",,,,"NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Multiple Characteristics","5","Sex and age group","2","5","Female: 20-34 years","2.11","14","Female","10","Percent of population, crude","2","1988-1994","1","10.5","0.9",,,,"NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Multiple Characteristics","5","Sex and age group","2","5","Female: 20-34 years","2.11","14","Female","10","Percent of population, crude","2","1995-1998","2",,,,,"- - -","NT0009,SC0004,NA0004,NT9997,FN9995"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Multiple Characteristics","5","Sex and age group","2","5","Female: 20-34 years","2.11","14","Female","10","Percent of population, crude","2","1999-2000","3",,,,,"- -","NT0009,SC0004,NA0012,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Multiple Characteristics","5","Sex and age group","2","5","Female: 20-34 years","2.11","14","Female","10","Percent of population, crude","2","2001-2004","4","10.3","1.2",,,,"NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Multiple Characteristics","5","Sex and age group","2","5","Female: 20-34 years","2.11","14","Female","10","Percent of population, crude","2","2005-2008","5","8.8","1",,,,"NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Multiple Characteristics","5","Sex and age group","2","5","Female: 20-34 years","2.11","14","Female","10","Percent of population, crude","2","2009-2012","6","11","1.3",,,,"NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Multiple Characteristics","5","Sex and age group","2","5","Female: 20-34 years","2.11","14","Female","10","Percent of population, crude","2","2013-2016","7","10","1.1",,,,"NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Multiple Characteristics","5","Sex and age group","2","5","Female: 20-34 years","2.11","14","Female","10","Percent of population, crude","2","2017-3/2020","8","13.6","1.6",,,,"NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Multiple Characteristics","5","Sex and age group","2","5","Female: 35-44 years","2.12","15","Female","10","Percent of population, crude","2","1988-1994","1","25.3","1.8",,,,"NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Multiple Characteristics","5","Sex and age group","2","5","Female: 35-44 years","2.12","15","Female","10","Percent of population, crude","2","1995-1998","2",,,,,"- - -","NT0009,SC0004,NA0004,NT9997,FN9995"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Multiple Characteristics","5","Sex and age group","2","5","Female: 35-44 years","2.12","15","Female","10","Percent of population, crude","2","1999-2000","3",,,,,"- -","NT0009,SC0004,NA0012,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Multiple Characteristics","5","Sex and age group","2","5","Female: 35-44 years","2.12","15","Female","10","Percent of population, crude","2","2001-2004","4","28.4","1.8",,,,"NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Multiple Characteristics","5","Sex and age group","2","5","Female: 35-44 years","2.12","15","Female","10","Percent of population, crude","2","2005-2008","5","26.9","2.6",,,,"NT0009,SC0004,NT9997"
